pid,janonly,related_html,related_ids,label,object_type,genre,tags,realdate,height_cm,width_cm,diameter_cm,plate_dimensions,support,drawing_medium,signature,signature_location,support_marks,further_inscription,collaborators,collaborator_notes,collectors_patrons,print_type,print_notes,printmaker,publisher,states,our_attribution,other_attribution_authorities,ertz_1979,ertz_2008,bailey_walker,hollstein_no,collection_type,location_country,location_city,location_collection,location_or_most_recent_sale_notes,provenance,bibliography,exhibition_history,related_works,copies_and_variants,curatorial_files,external_resources,biblio,order,layout,collection,thumbnail,full
3177,,<a href='/brughel/3172'><img src='/img/derivatives/simple/3172/thumbnail.jpg' /></a>|<a href='/brughel/3178'><img src='/img/derivatives/simple/3178/thumbnail.jpg' /></a>|<a href='/brughel/3174'><img src='/img/derivatives/simple/3174/thumbnail.jpg' /></a>|<a href='/brughel/3173'><img src='/img/derivatives/simple/3173/thumbnail.jpg' /></a>|<a href='/brughel/3176'><img src='/img/derivatives/simple/3176/thumbnail.jpg' /></a>|<a href='/brughel/3171'><img src='/img/derivatives/simple/3171/thumbnail.jpg' /></a>|<a href='/brughel/3175'><img src='/img/derivatives/simple/3175/thumbnail.jpg' /></a>|<a href='/brughel/3179'><img src='/img/derivatives/simple/3179/thumbnail.jpg' /></a>|<a href='/brughel/3180'><img src='/img/derivatives/simple/3180/thumbnail.jpg' /></a>,3172|3178|3174|3173|3176|3171|3175|3179|3180,Flowers in a Wooden Tub (The Hague),Painting,Flower Still-Life & Nature Study,Insects Tub Flowers,,64,48,,,Panel,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"RKD as Jan Brueghel the Younger, Ertz 2008-10, variant of #450, Ertz 1984, #268 as studio of Jan the Younger",,,,,Private,,,,"The Hague, Collection of Th.F. Thurkow",5214|5215,"Hairs, M. L., p. 204","Brooklyn Institute of Arts and Sciences, 1897, #399|Toledo Museum of Art, 1949|Rotterdam, 1955, cat. #149, image #40|Laren, 1959, #32|Ghent 1960, #30",3172|3178|3174|3173|3176|3171|3175|3179|3180,,542|543,,,265,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3177/thumbnail.jpg,img/derivatives/simple/3177/full.jpg
3178,,<a href='/brughel/3174'><img src='/img/derivatives/simple/3174/thumbnail.jpg' /></a>|<a href='/brughel/3172'><img src='/img/derivatives/simple/3172/thumbnail.jpg' /></a>|<a href='/brughel/3176'><img src='/img/derivatives/simple/3176/thumbnail.jpg' /></a>|<a href='/brughel/3173'><img src='/img/derivatives/simple/3173/thumbnail.jpg' /></a>|<a href='/brughel/3177'><img src='/img/derivatives/simple/3177/thumbnail.jpg' /></a>|<a href='/brughel/3171'><img src='/img/derivatives/simple/3171/thumbnail.jpg' /></a>|<a href='/brughel/3180'><img src='/img/derivatives/simple/3180/thumbnail.jpg' /></a>|<a href='/brughel/3179'><img src='/img/derivatives/simple/3179/thumbnail.jpg' /></a>|<a href='/brughel/3175'><img src='/img/derivatives/simple/3175/thumbnail.jpg' /></a>,3174|3172|3176|3173|3177|3171|3180|3179|3175,Flowers in a Wooden Tub (Vienna),Painting,Flower Still-Life & Nature Study,Insects Tub Flowers,1611,98,73,,,Panel,,,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #450, Ertz 1979, #144, Honig database",144,450,,,Public,Austria,Vienna,Kunsthistorisches Museum,inv. #570,5216|5217,"Vienna, Kunsthistorisches Museum, 1963 catalogue #74; Ertz 1979, cat. #144; Ertz 2008-10, cat. #450; Brenninkmeijer 1990, fig. 30 p. 247, Type VIII, 1611",,3174|3172|3176|3173|3177|3171|3180|3179|3175,,,http://bilddatenbank.khm.at/viewArtefact?id=351,,266,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3178/thumbnail.jpg,img/derivatives/simple/3178/full.jpg
3179,,<a href='/brughel/3178'><img src='/img/derivatives/simple/3178/thumbnail.jpg' /></a>|<a href='/brughel/3171'><img src='/img/derivatives/simple/3171/thumbnail.jpg' /></a>|<a href='/brughel/3175'><img src='/img/derivatives/simple/3175/thumbnail.jpg' /></a>|<a href='/brughel/3176'><img src='/img/derivatives/simple/3176/thumbnail.jpg' /></a>|<a href='/brughel/3177'><img src='/img/derivatives/simple/3177/thumbnail.jpg' /></a>|<a href='/brughel/3173'><img src='/img/derivatives/simple/3173/thumbnail.jpg' /></a>|<a href='/brughel/3180'><img src='/img/derivatives/simple/3180/thumbnail.jpg' /></a>|<a href='/brughel/3172'><img src='/img/derivatives/simple/3172/thumbnail.jpg' /></a>,3178|3171|3175|3176|3177|3173|3180|3172,Flowers in a Wooden Tub with Squirrel (Amsterdam),Painting,Flower Still-Life & Nature Study,Insects Tub Flowers,,30,24,,,Panel,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"RKD as Jan Brueghel the Elder, Ertz 2008-10, variant of #450",,,,,Private,,,,Paris,5218,,,3178|3171|3175|3176|3177|3173|3180|3172,,,,,267,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3179/thumbnail.jpg,img/derivatives/simple/3179/full.jpg
3180,,<a href='/brughel/3178'><img src='/img/derivatives/simple/3178/thumbnail.jpg' /></a>|<a href='/brughel/3171'><img src='/img/derivatives/simple/3171/thumbnail.jpg' /></a>|<a href='/brughel/3173'><img src='/img/derivatives/simple/3173/thumbnail.jpg' /></a>|<a href='/brughel/3175'><img src='/img/derivatives/simple/3175/thumbnail.jpg' /></a>|<a href='/brughel/3176'><img src='/img/derivatives/simple/3176/thumbnail.jpg' /></a>|<a href='/brughel/3177'><img src='/img/derivatives/simple/3177/thumbnail.jpg' /></a>|<a href='/brughel/3179'><img src='/img/derivatives/simple/3179/thumbnail.jpg' /></a>|<a href='/brughel/3172'><img src='/img/derivatives/simple/3172/thumbnail.jpg' /></a>,3178|3171|3173|3175|3176|3177|3179|3172,Flowers in a Wooden Tub with Tulip (Paris),Painting,Flower Still-Life & Nature Study,Insects Tub Flowers,,102.5,67,,,Panel,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"RKD as Jan Brueghel the Younger, Ertz 2008-10, variant of #450",,,,,Private,,,,"Paris, Galerie d'Art St.-Honoré, 2005",,,,3178|3171|3173|3175|3176|3177|3179|3172,,544,,,268,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3180/thumbnail.jpg,img/derivatives/simple/3180/full.jpg
3181,,,,Forest Interior with John the Baptist,Painting,Religious,Resting Deer Monkey Forest Old_Testament Saint Landscape,ca. 1596,24.5,32.5,,,Panel,,,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #307",,307,,,Private,,,,"Munich, Hampel, March 18, 2005",5219|5220,"Ertz 2008-10, cat. #307",,,,,,{% cite 8900 %} cat. #307,269,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3181/thumbnail.jpg,img/derivatives/simple/3181/full.jpg
2905,,<a href='/brughel/2976'><img src='/img/derivatives/simple/2976/thumbnail.jpg' /></a>,2976,Allegory of Air and Fire,Painting,Allegory,Abundance Cosmology Encyclopedic Animals Birds Forge Ruins Watermill Van_Balen Volcano Nude Landscape,ca. 1620,61.5,94,,,Panel,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #516",,516,,,Public,Germany,Potsdam,Prussian Palaces and Gardens Foundation Berlin-Brandenburg,inv. # GKI 7768,4521|4522|4523|4524,"Ertz 2008-10, Cat. 515, pp. 1077-78",,2976,,,,"{% cite 8900 %} Cat. 515, pp. 1077-78",27,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2905/thumbnail.jpg,img/derivatives/simple/2905/full.jpg
3182,,,,Forest Landscape,Painting,Landscape,Hunting Birds Dog Forest Stream,ca. 1605,18,25.8,,,Copper,,,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #93, Ertz 1979, #118, Honig database",118,93,,,Public,Switzerland,Zürich,Kunsthaus,Betty and David M. Koetser Foundation,5221|5222,"Ertz 1979, cat. #118, Fig. 226; Ertz 2008-10, cat. #93, p. 221; Ruby 2012, p. 280",,,,,http://www.kunsthaus.ch/en/the-collection/painting-and-sculptures/old-masters/flemish-painting/zoom/?redirect_url=cfeiisqvffu,"{% cite 9004 %} cat. #118, Fig. 226, {% cite 8900 %} cat. #93, p. 221, {% cite 8639 %} p. 280",270,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3182/thumbnail.jpg,img/derivatives/simple/3182/full.jpg
3183,,,,Forest Landscape (Antwerp),Drawing,Landscape,Forest,,17.4,27.1,,,Paper,"Pen and brown ink, brown and blue wash",,,,,,,,,,,,,,Bailey/Walker cat. #ANTW.PM.11,,,ANTW.PM.11,,Public,Belgium,Antwerp,Museum Plantin-Moretus,PK.OT.02258; D.33.43,,,,,,,http://search.museumplantinmoretus.be/Details/collect/326018,,271,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3183/thumbnail.jpg,img/derivatives/simple/3183/full.jpg
3184,,,,Forest Landscape (Cologne),Painting,Landscape,Bridge Forest,ca. 1600,11,15.8,,,Copper,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, Add. 26",,,,,Private,,,,"Cologne, Lempertz, 20 November 2010, lot #1035",5224|5225|5226|5227,"Kortrijk (exhibition catalog) 1976, #3; Müllenmeister 1988, p. 390; Ertz 2008-10, cat.Add. 26",,,,,,"{% cite 8069 %} p. 390, {% cite 8900 %} cat.Add. 26",272,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3184/thumbnail.jpg,img/derivatives/simple/3184/full.jpg
3185,,,,Forest Landscape (Vienna),Painting,Landscape,Birds Forest Stream,1605-1610,40,32,,,Panel,,,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #96, Ertz 1979, #126, Honig database",126,96,,,Public,Austria,Vienna,Kunsthistorisches Museum,inv. #1072,5228|5229|5230,"Ertz 1979, cat. #126, fig. 232",,,,,http://bilddatenbank.khm.at/viewArtefact?id=349,"{% cite 9004 %} cat. #126, fig. 232",273,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3185/thumbnail.jpg,img/derivatives/simple/3185/full.jpg
3186,,,,Forest Landscape with Angler,Painting,Landscape,Birds Roundel Forest River Fishermen Boat,ca. 1605,,,18,,Panel,,,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #97",,97,,,Private,,,,"London, Johnny van Haeften Ltd., 2005",5231|5232,,,,,545|546|547|548,,,274,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3186/thumbnail.jpg,img/derivatives/simple/3186/full.jpg
3187,,<a href='/brughel/3371'><img src='/img/derivatives/simple/3371/thumbnail.jpg' /></a>,3371,Forest Landscape with Bridge,Painting,Landscape,Bridge Forest Landscape,1602,41.5,67.3,,,Panel,,,,,,Gillis Coninxloo (1544-1607),,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #586",,586,,,Public,Austria,Vienna,Museum im Schottenstift,,5233,"Bartilla 2005, p. 140; Vienna (museum catalog) 1994, cat. #77; Ertz 2008-10, cat. #586","Essen/Vienna 2003, cat. #54",3371,,,,{% cite 8900 %} cat. #586,275,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3187/thumbnail.jpg,img/derivatives/simple/3187/full.jpg
3189,,,,Forest Landscape with Classical Ruins and Figures,Painting,Landscape,Animals Ruins Forest,ca. 1594,21,30,,,Copper,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Honig database as uncertain, possibly studio",,,,,Private,,,,"London, Brod Gallery, 1965",,,,,,,,,277,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3189/thumbnail.jpg,img/derivatives/simple/3189/full.jpg
3190,,<a href='/brughel/3191'><img src='/img/derivatives/simple/3191/thumbnail.jpg' /></a>,3191,Forest Landscape with Deer Hunting,Painting,Landscape,Hunting Deer Dog Forest,1593-1596,13.5,17,,,Copper,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #81",,81,,,Private,,,,"Zürich, Koller, March 19, 1998",5234,,,3191,,,,,278,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3190/thumbnail.jpg,img/derivatives/simple/3190/full.jpg
3191,,<a href='/brughel/3190'><img src='/img/derivatives/simple/3190/thumbnail.jpg' /></a>,3190,Forest Landscape with Deer Hunting (Rome),Painting,Landscape,Hunting Deer Dog Horse,ca. 1595,23,29.9,,,Copper,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, Add. 2",,,,,Public,Italy,Rome,Galleria Doria Pamphilj,"Gabinetto 1, inv. #336/544",,"Rome (Museum Catalog) 1942, p. 362 as Bril; Rome (Museum Catalog) 1991, p. 46 as School of Bril; Cappelletti 2005/06, p. 21 as Vrancx; Ertz 2008-10, cat. Add. 2",,3190,,,,"{% cite 8089 %} p. 21 as Vrancx, {% cite 8900 %} cat. Add. 2",279,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3191/thumbnail.jpg,img/derivatives/simple/3191/full.jpg
2906,,,,Allegory of Autumn,Painting,Allegory,Resting Autumn Animals City Pond Peasants Landscape,ca. 1590,20.3,27.6,,,Copper,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #531",,531,,,Private,,,,"London, Christie's, July 4, 1997, inv. #44 (as Marten Ryckaert)",4525|4526,"Ertz 2008-10, cat. #531",,,,,,{% cite 8900 %} cat. #531,28,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2906/thumbnail.jpg,img/derivatives/simple/2906/full.jpg
3193,,,,Forest Landscape with Duck Hunter (Florence),Painting,Landscape,Hunting Birds Castle Forest Mountain,ca. 1590,17,22.5,,,Copper,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #4b, Honig database as uncertain",,4,,,Public,Italy,Florence,Galleria degli Uffizi,inv. of 1825 #1083,5237|5238,"Ertz 2008-10, cat. #4b",,,,,,{% cite 8900 %} cat. #4b,281,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3193/thumbnail.jpg,img/derivatives/simple/3193/full.jpg
3194,,,,Forest Landscape with Flight into Egypt (Frankfurt),Painting,Religious,New_Testament,1620,15,22,,,Copper,,"Johan Breughel 1620 (false, acc. museum)",,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, Add. 25, Frankfurt Museum catalogues as Jan the Younger or manner of Jan the Younger",,,,,Public,Germany,Frankfurt,Städelsches Kunstinstitut und Städtische Galerie,inv. #1218,5239,"Frankfurt (museum catalog) 1987, p. 34; Franfurt (museum catalog) 1995, p. 24; Ertz 2008-10, cat. Add. 25",,,,,,"{% cite 8666 %} p. 24, {% cite 8900 %} cat. Add. 25",282,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3194/thumbnail.jpg,img/derivatives/simple/3194/full.jpg
3195,,<a href='/brughel/3196'><img src='/img/derivatives/simple/3196/thumbnail.jpg' /></a>,3196,Forest Landscape with Fox Hunting,Painting,Landscape,Hunting Birds Dog Forest Stream,ca. 1595,52,66.5,,,Panel,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #87a",,87,,,Private,,,,Private Collection,,,,3196,,,,,283,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3195/thumbnail.jpg,img/derivatives/simple/3195/full.jpg
3196,,<a href='/brughel/3195'><img src='/img/derivatives/simple/3195/thumbnail.jpg' /></a>,3195,Forest Landscape with Fox Hunting (Vienna),Painting,Landscape,Hunting Birds Dog Horse Forest Stream Burghers,1595-1600,41,57,,,Panel,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #87",,87,,,Private,,,,"Vienna, Dorotheum, October 18, 1994, inv. #146",5240,,,3195,,,,,284,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3196/thumbnail.jpg,img/derivatives/simple/3196/full.jpg
3197,,<a href='/brughel/3374'><img src='/img/derivatives/simple/3374/thumbnail.jpg' /></a>,3374,Forest Landscape with Hermit,Painting,Religious,Resting Parrot Forest Hermits Old_Testament,ca. 1595,9.8,12.4,,,Panel,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #283, Honig database as uncertain",,283,,,Private,,,,"Zürich, Eberhart, June 5, 1986, inv. #9",5241,"Ertz 2008-10, cat. #283",,3374,,,,{% cite 8900 %} #283,285,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3197/thumbnail.jpg,img/derivatives/simple/3197/full.jpg
3198,,<a href='/brughel/3816'><img src='/img/derivatives/simple/3816/thumbnail.jpg' /></a>,3816,Forest Landscape with Hermit (Private Collection),Painting,Religious,Resting Roundel Forest Stream Hermits Old_Testament,ca. 1600,,,17.5,,Panel,,,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #285",,285,,,Private,,,,Private Collection,5242|5243|5244|5245,"Ertz 2008-10, cat. #285",,3816,,,,{% cite 8900 %} cat. #285,286,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3198/thumbnail.jpg,img/derivatives/simple/3198/full.jpg
3199,,,,Forest Landscape with Hermit (Zurich),Painting,Religious,Resting Forest Stream Hermits Old_Testament,ca. 1600,17.5,13.2,,,Copper,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #286",,286,,,Private,,,,"Zürich, Koller, September 21, 2005",,"Ertz 2008-10, cat. #286",,,,,,{% cite 8900 %} cat. #286,287,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3199/thumbnail.jpg,img/derivatives/simple/3199/full.jpg
3200,,<a href='/brughel/3212'><img src='/img/derivatives/simple/3212/thumbnail.jpg' /></a>|<a href='/brughel/3207'><img src='/img/derivatives/simple/3207/thumbnail.jpg' /></a>|<a href='/brughel/3288'><img src='/img/derivatives/simple/3288/thumbnail.jpg' /></a>|<a href='/brughel/3202'><img src='/img/derivatives/simple/3202/thumbnail.jpg' /></a>|<a href='/brughel/3203'><img src='/img/derivatives/simple/3203/thumbnail.jpg' /></a>|<a href='/brughel/3004'><img src='/img/derivatives/simple/3004/thumbnail.jpg' /></a>|<a href='/brughel/3213'><img src='/img/derivatives/simple/3213/thumbnail.jpg' /></a>|<a href='/brughel/3229'><img src='/img/derivatives/simple/3229/thumbnail.jpg' /></a>|<a href='/brughel/2953'><img src='/img/derivatives/simple/2953/thumbnail.jpg' /></a>|<a href='/brughel/3205'><img src='/img/derivatives/simple/3205/thumbnail.jpg' /></a>,3212|3207|3288|3202|3203|3004|3213|3229|2953|3205,Forest Landscape with Hunters,Painting,Landscape,Hunting Birds Dog Forest Stream,ca. 1593,39.5,53.5,,,Panel,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #77",,77,,,Private,,,,"Austria, Private Collection",,"Ertz 2008-10, cat. #77; Prosperetti 2009, pp. 163; Currie/Allart 2012, pp.230",,3212|3207|3288|3202|3203|3004|3213|3229|2953|3205,,,,"{% cite 8900 %} cat. #77, {% cite 8202 %} p. 163, {% cite 8340 %} p. 230",288,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3200/thumbnail.jpg,img/derivatives/simple/3200/full.jpg
3201,,,,Forest Landscape with Hunters (Frankfurt),Painting,Landscape,Birds Forest Stream Boat,ca. 1593,15.5,22.3,,,Copper,,,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #9a, Honig database",,9,,,Public,Germany,Frankfurt,Städelsches Kunstinstitut und Städtische Galerie,inv. #1285,5246,"Frankfurt 1995, p.26 as manner of Coninxloo; Pijl 2002 as Brueghel&apos;s earliest work; Pijl 2008; Ertz 2008-10, cat. #9a",,,,,,"{% cite 8666 %} p. 26 as manner of Coninxloo, {% cite 8523 %} as Brueghel's earliest work, {% cite 8992 %} , {% cite 8900 %} cat. #9a",289,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3201/thumbnail.jpg,img/derivatives/simple/3201/full.jpg
3202,,<a href='/brughel/3212'><img src='/img/derivatives/simple/3212/thumbnail.jpg' /></a>|<a href='/brughel/3207'><img src='/img/derivatives/simple/3207/thumbnail.jpg' /></a>|<a href='/brughel/3200'><img src='/img/derivatives/simple/3200/thumbnail.jpg' /></a>|<a href='/brughel/3288'><img src='/img/derivatives/simple/3288/thumbnail.jpg' /></a>|<a href='/brughel/3203'><img src='/img/derivatives/simple/3203/thumbnail.jpg' /></a>|<a href='/brughel/3004'><img src='/img/derivatives/simple/3004/thumbnail.jpg' /></a>|<a href='/brughel/3213'><img src='/img/derivatives/simple/3213/thumbnail.jpg' /></a>|<a href='/brughel/3229'><img src='/img/derivatives/simple/3229/thumbnail.jpg' /></a>|<a href='/brughel/2953'><img src='/img/derivatives/simple/2953/thumbnail.jpg' /></a>|<a href='/brughel/3205'><img src='/img/derivatives/simple/3205/thumbnail.jpg' /></a>,3212|3207|3200|3288|3203|3004|3213|3229|2953|3205,Forest Landscape with Hunters (Germany),Painting,Landscape,Hunting Birds Dog Forest Stream,ca. 1593,26.5,34,,,Copper,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #79",,79,,,Private,,,,"Germany, Private Collection",5247|5248,"Ertz 2008-10, cat. #79",,3212|3207|3200|3288|3203|3004|3213|3229|2953|3205,,,,{% cite 8900 %} cat. #79,290,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3202/thumbnail.jpg,img/derivatives/simple/3202/full.jpg
3203,,<a href='/brughel/3212'><img src='/img/derivatives/simple/3212/thumbnail.jpg' /></a>|<a href='/brughel/3207'><img src='/img/derivatives/simple/3207/thumbnail.jpg' /></a>|<a href='/brughel/3200'><img src='/img/derivatives/simple/3200/thumbnail.jpg' /></a>|<a href='/brughel/3288'><img src='/img/derivatives/simple/3288/thumbnail.jpg' /></a>|<a href='/brughel/3202'><img src='/img/derivatives/simple/3202/thumbnail.jpg' /></a>|<a href='/brughel/3004'><img src='/img/derivatives/simple/3004/thumbnail.jpg' /></a>|<a href='/brughel/3213'><img src='/img/derivatives/simple/3213/thumbnail.jpg' /></a>|<a href='/brughel/3229'><img src='/img/derivatives/simple/3229/thumbnail.jpg' /></a>|<a href='/brughel/2953'><img src='/img/derivatives/simple/2953/thumbnail.jpg' /></a>|<a href='/brughel/3205'><img src='/img/derivatives/simple/3205/thumbnail.jpg' /></a>,3212|3207|3200|3288|3202|3004|3213|3229|2953|3205,Forest Landscape with Hunters (London),Painting,Landscape,Hunting Birds Dog Forest Stream,ca. 1593,40.6,59.8,,,Panel,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #80, Honig database as uncertain",34,80,,,Private,,,,"London, Christie's, July 8, 2008, inv. #39",5249|5250|5251,"Ertz 2008-10, cat. #80","Cremona 1998, cat. #33",3212|3207|3200|3288|3202|3004|3213|3229|2953|3205,,,,{% cite 8900 %} cat. #80,291,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3203/thumbnail.jpg,img/derivatives/simple/3203/full.jpg
3204,,,,Forest Landscape with Hunters (New York),Painting,Landscape,Hunting Forest Stream,ca. 1605,11.6,16.6,,,Copper,,,,Mark of Peeter Stas,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, Add. 5",,,,,Private,,,,"New York, Sotheby's, 29 January 2009, lot #10 for $182,500",5252|5253|5254|5255,"Ertz 2008-10, cat. #Add. 5, p. 1630",,,,,,"{% cite 8900 %} cat. #Add. 5, p. 1630",292,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3204/thumbnail.jpg,img/derivatives/simple/3204/full.jpg
3205,,<a href='/brughel/3212'><img src='/img/derivatives/simple/3212/thumbnail.jpg' /></a>|<a href='/brughel/3207'><img src='/img/derivatives/simple/3207/thumbnail.jpg' /></a>|<a href='/brughel/3200'><img src='/img/derivatives/simple/3200/thumbnail.jpg' /></a>|<a href='/brughel/3288'><img src='/img/derivatives/simple/3288/thumbnail.jpg' /></a>|<a href='/brughel/3203'><img src='/img/derivatives/simple/3203/thumbnail.jpg' /></a>|<a href='/brughel/3004'><img src='/img/derivatives/simple/3004/thumbnail.jpg' /></a>|<a href='/brughel/3213'><img src='/img/derivatives/simple/3213/thumbnail.jpg' /></a>|<a href='/brughel/3229'><img src='/img/derivatives/simple/3229/thumbnail.jpg' /></a>|<a href='/brughel/2953'><img src='/img/derivatives/simple/2953/thumbnail.jpg' /></a>|<a href='/brughel/3202'><img src='/img/derivatives/simple/3202/thumbnail.jpg' /></a>,3212|3207|3200|3288|3203|3004|3213|3229|2953|3202,Forest Landscape with Hunters (Private Collection),Painting,Landscape,Hunting Forest Stream,1588,39.1,56.2,,,Panel,,,,,,,,,,,,,,Jan Brueghel the Elder,Louisa Wood Ruby as Jan Brueghel the Elder,,,,,Private,,,,"Philadelphia, Private Collection",,"Ruby 2012, fig. 11",,3212|3207|3200|3288|3203|3004|3213|3229|2953|3202,,550,,{% cite 8639 %} fig.11,293,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3205/thumbnail.jpg,img/derivatives/simple/3205/full.jpg
3206,,,,Forest Landscape with Hunters and Dogs,Painting,Landscape,Hunting Dog Horse Forest Landscape,ca. 1600,22,33.8,,,Panel,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #Add. 4",,,,,Private,,,,"Germany, Private Collection",5256|5257,"Ertz 2008-10, cat. #Add. 4, p. 1628",,,,,,"{% cite 8900 %} cat. #Add. 4, p. 1628",294,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3206/thumbnail.jpg,img/derivatives/simple/3206/full.jpg
3207,,<a href='/brughel/3212'><img src='/img/derivatives/simple/3212/thumbnail.jpg' /></a>|<a href='/brughel/3200'><img src='/img/derivatives/simple/3200/thumbnail.jpg' /></a>|<a href='/brughel/3288'><img src='/img/derivatives/simple/3288/thumbnail.jpg' /></a>|<a href='/brughel/3202'><img src='/img/derivatives/simple/3202/thumbnail.jpg' /></a>|<a href='/brughel/3203'><img src='/img/derivatives/simple/3203/thumbnail.jpg' /></a>|<a href='/brughel/3004'><img src='/img/derivatives/simple/3004/thumbnail.jpg' /></a>|<a href='/brughel/3213'><img src='/img/derivatives/simple/3213/thumbnail.jpg' /></a>|<a href='/brughel/2953'><img src='/img/derivatives/simple/2953/thumbnail.jpg' /></a>|<a href='/brughel/3229'><img src='/img/derivatives/simple/3229/thumbnail.jpg' /></a>|<a href='/brughel/3205'><img src='/img/derivatives/simple/3205/thumbnail.jpg' /></a>,3212|3200|3288|3202|3203|3004|3213|2953|3229|3205,Forest Landscape with Hunting Scene,Painting,Landscape,Hunting Birds Dog Forest Stream,ca. 1593,26.5,36,,,Panel,,,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #76",,76,,,Private,,,,"London, Sotheby's, December 13, 2001, inv. #106 (as 'attributed to Jan I')",5258,,,3212|3200|3288|3202|3203|3004|3213|2953|3229|3205,,,,,295,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3207/thumbnail.jpg,img/derivatives/simple/3207/full.jpg
3211,,,,Forest Landscape with St. Hubert,Painting,Religious,Resting Deer Forest New_Testament Saint,ca. 1590,19.8,23.4,,,Copper,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #303",,303,,,Private,,,,"Germany, Private Collection",5269|5270,"Ertz 2008-10, cat. #303",,,,551|552|553,,{% cite 8900 %} cat. #303,298,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3211/thumbnail.jpg,img/derivatives/simple/3211/full.jpg
